text,group
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are proud of their identity.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a skilled musician.,nationality
The Zambian people were considered very friendly.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their negotiation skills.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is showing us around the property.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious at the comedy club.,profession
Everyone thought he was a very nice person.,gender
His friends were all gathered at the party.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was beautiful and charming.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim from Egypt.,religion
Islam has many followers around the world.,religion
Jewish people are known for their rich culture.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was praying in the church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly.,nationality
The guy from Albania is in the restaurant business.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious Middle Eastern dish.,race
Tyrone picked the freshest vegetables at the market.,race
Jose had a thick Spanish accent.,race
Nonbinary people have their own unique identity.,lgbtq+
Gay people have the right to get married.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are proud of their identity.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a skilled musician.,nationality
The Zambian people were considered very friendly.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their negotiation skills.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is showing us around the property.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious at the comedy club.,profession
Everyone thought he was a very nice person.,gender
His friends were all gathered at the party.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was beautiful and charming.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim from Egypt.,religion
Islam has many followers around the world.,religion
Jewish people are known for their rich culture.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was praying in the church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly.,nationality
The guy from Albania is in the restaurant business.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious Middle Eastern dish.,race
Tyrone picked the freshest vegetables at the market.,race
Jose had a thick Spanish accent.,race
Nonbinary people have their own unique identity.,lgbtq+
Gay people have the right to get married.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are proud of their identity.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a skilled musician.,nationality
The Zambian people were considered very friendly.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their negotiation skills.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is showing us around the property.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious at the comedy club.,profession
Everyone thought he was a very nice person.,gender
His friends were all gathered at the party.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was beautiful and charming.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim from Egypt.,religion
Islam has many followers around the world.,religion
Jewish people are known for their rich culture.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was praying in the church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly.,nationality
The guy from Albania is in the restaurant business.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious Middle Eastern dish.,race
Tyrone picked the freshest vegetables at the market.,race
Jose had a thick Spanish accent.,race
Nonbinary people have their own unique identity.,lgbtq+
Gay people have the right to get married.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are proud of their identity.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a skilled musician.,nationality
The Zambian people were considered very friendly.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their negotiation skills.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is showing us around the property.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious at the comedy club.,profession
Everyone thought he was a very nice person.,gender
His friends were all gathered at the party.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was beautiful and charming.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim from Egypt.,religion
Islam has many followers around the world.,religion
Jewish people are known for their rich culture.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was praying in the church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly.,nationality
The guy from Albania is in the same class.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious Middle Eastern dish.,race
Tyrone picked the freshest fruits at the market.,race
Jose had a thick Spanish accent.,race
Nonbinary people have their own identity.,lgbtq+
Gay people have the right to marry.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ community.,lgbtq+
Queer people are proud of their identity.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a skilled musician.,nationality
The Zambian people were considered very friendly.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their negotiation skills.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is showing us around the property.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious at the comedy club.,profession
Everyone thought he was a very nice person.,gender
His friends were all gathered at the party.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was beautiful and charming.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim from Egypt.,religion
Islam has many followers around the world.,religion
Jewish people are known for their rich culture.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was praying in the church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly.,nationality
The guy from Albania is in the same class.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious Middle Eastern dish.,race
Tyrone picked the freshest fruits at the market.,race
Jose had a thick Spanish accent.,race
Nonbinary people have their own identity.,lgbtq+
Gay people have the right to marry.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ community.,lgbtq+
Queer people are proud of their identity.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a skilled musician.,nationality
The Zambian people were considered very friendly.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their negotiation skills.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is showing us around the property.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious at the comedy club.,profession
Everyone thought he was a very nice person.,gender
His friends were all gathered at the party.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was beautiful and charming.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim from Egypt.,religion
Islam has many followers around the world.,religion
Jewish people are known for their rich culture.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was praying in the church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly.,nationality
The guy from Albania is in the restaurant business.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious Middle Eastern dish.,race
Tyrone picked the freshest vegetables at the market.,race
Jose had a thick Spanish accent.,race
Nonbinary people have their own unique identity.,lgbtq+
Gay people have the right to get married.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are proud of their identity.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a skilled musician.,nationality
The Zambian people were considered very friendly.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their negotiation skills.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is showing us around the property.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious at the comedy club.,profession
Everyone thought he was a very nice person.,gender
His friends were all gathered at the party.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was beautiful and charming.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim from Egypt.,religion
Islam has many followers around the world.,religion
Jewish people are known for their rich culture.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was praying in the church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly.,nationality
The guy from Albania is in the restaurant business.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious Middle Eastern dish.,race
Tyrone picked the freshest vegetables at the market.,race
Jose had a thick Spanish accent.,race
Nonbinary people have their own unique identity.,lgbtq+
Gay people have the right to get married.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are proud of their identity.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a skilled musician.,nationality
The Zambian people were considered very friendly.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their negotiation skills.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is showing us around the property.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious at the comedy club.,profession
Everyone thought he was a very nice person.,gender
His friends were all gathered at the party.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was beautiful and charming.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim from Egypt.,religion
Islam has many followers around the world.,religion
Jewish people are known for their rich culture.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was praying in the church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly.,nationality
The guy from Albania is in the restaurant business.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious Middle Eastern dish.,race
Tyrone picked the freshest vegetables at the market.,race
Jose had a thick Spanish accent.,race
Nonbinary people have their own unique identity.,lgbtq+
Gay people have the right to get married.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are proud of their identity.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a skilled musician.,nationality
The Zambian people were considered very friendly.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their negotiation skills.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is showing us around the property.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious at the comedy club.,profession
Everyone thought he was a very nice person.,gender
His friends were all gathered at the party.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was beautiful and charming.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim from Egypt.,religion
Islam has many followers around the world.,religion
Jewish people are known for their rich culture.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was praying in the church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly.,nationality
The guy from Albania is in the same class.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious Middle Eastern dish.,race
Tyrone picked the freshest vegetables at the market.,race
Jose had a thick Spanish accent.,race
Nonbinary people have their own unique identity.,lgbtq+
Gay people have the right to get married.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are proud of their identity.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a skilled musician.,nationality
The Zambian people were considered very friendly.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their negotiation skills.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is showing us around the property.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious at the comedy club.,profession
Everyone thought he was a very nice person.,gender
His friends were all gathered at the party.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was beautiful and charming.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim from Egypt.,religion
Islam has many followers around the world.,religion
Jewish people are known for their rich culture.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was praying in the church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly.,nationality
The guy from Albania is in the restaurant business.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious Middle Eastern dish.,race
Tyrone picked the freshest vegetables at the market.,race
Jose had a thick Spanish accent.,race
Nonbinary people have their own unique identity.,lgbtq+
Gay people have the right to get married.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are proud of their identity.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a skilled musician.,nationality
The Zambian people were considered very friendly.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their negotiation skills.,nationality
